ID,Nombre,Descripción,URL,Categorias,Creado,# Visitas,Temas,Area o Dependencia,Nombre de la Entidad,Departamento,Municipio,Orden,Sector,Idioma,Cobertura Geográfica,Frecuencia de Actualización,Categoría,Descargas,Filas,Columnas
15,Caminatas Ecológicas,"Contiene información de la oferta de senderos de interpretación ambiental disponibles en el área urbana y rural de Bogotá D.C.,  Temáticamente da cuenta del nombre y tipo del sendero, número de estaciones de interpretación ambiental y/o Aulas Ambientales asociadas al sendero, descripción, nivel de dificultad del recorrido y tiempo promedio para completar el sendero, así como también la longitud del mismo. Los senderos de interpretación ambiental son aquellos caminos, trochas o caminos reales del Distrito Capital en el que se realizan actividades de recreación pasiva, organizada y programada previamente para un colectivo, que consiste en realizar un recorrido pedestre para contemplar el paisaje o el ambiente con fines informativos, interpretativos, de disfrute, culturales y/o educativos. La capa fue construida a partir de levantamientos GPS en campo.",https://www.datos.gov.co/dataset/Caminatas-Ecológicas/9dy6-rtw7,Enlace externo,April 10 2019,0,paisaje/recorrido/caminata/ecológ,,,,,,,,,,,,,
16,Cobertura vegetal en humedales,"Contiene información referente a la posición, delimitación de la cobertura vegetal para cada humedal dentro del Distrito Capital Figurada mediante representación multi temporal entra los años 1956- 2016. la cual describe los cambios de cobertura asociada las siguientes temáticas: (arbustales, áreas endurecidas, espejo de agua, pastos, vegetación acuática, vegetación herbácea)",https://www.datos.gov.co/dataset/Cobertura-vegetal-en-humedales/dm5e-5itu,Enlace externo,April 10 2019,0,espejo de agua/cobertura vegetal/biodiversidad/humedal/ecosist,,,,,,,,,,,,,
17,Reclamos por asunto Bogotá. Febrero 2019,"En Febrero se presento 1 (un), reclamo, los cuales se clasificaron de acuerdo al tipo de servicio que no fue satisfactorio para el ciudadano.",https://www.datos.gov.co/dataset/Reclamos-por-asunto-Bogotá-Febrero-2019/7g7e-qsx7,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
18,PQRS por tipología y canal ingreso Bofgotá. Febrero 2019,"Los canales oficiales, dispuestos para la radicación de PQRS, establecidos en la resolución SDH000046 del 23 de diciembre de 2015 “ Por la cual se reglamenta el trámite interno de las peticiones, quejas, reclamos y sugerencias PQRS en la Secretaría Distrital de Hacienda”",https://www.datos.gov.co/dataset/PQRS-por-tipología-y-canal-ingreso-Bofgotá-Febrero/8ij5-7vsg,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
19,Solicitudes acceso a la información Bogotá Febrero 2019,"Es derecho fundamental de toda persona, que le permite solicitar y recibir información pública (estructura organizacional, servicios, procedimientos y funcionamiento) en posesión o bajo control de los sujetos obligados (Entidades públicas, organismos estatales, personas naturales y jurídicas que presten o desempeñen función pública, partidos o movimientos políticos, grupos significativos de ciudadanos, entidades que administren recursos de naturaleza u origen público). El acceso a la información solamente podrá ser restringido excepcionalmente, cuando se trate de información reservada.",https://www.datos.gov.co/dataset/Solicitudes-acceso-a-la-información-Bogotá-Febrero/scxw-kj7q,Enlace externo,April 10 2019,0,economía y finanzas,,,,,,,,,,,,,
20,Humedales (área),"Contiene información de la localización de los Humedales de Bogotá para el área urbana del Distrito Capital, regido bajo el Decreto 190 de 2004 considerado en el Artículo 95 como Parques Ecológicos Distritales de Humedal, de igual manera es considerado en el Acuerdo 577 de 2014. Resolución No. 5735 de 2008 y Acuerdo 487 de 2011 Resolución 5191 Secretaria Distrital de Ambiente, por el cual se declaran e incorporan como Parques Ecológicos Distritales de Humedal, los humedales de Ribera ""Tunjo"" ""La Isla"" y humedal ""salitre"". Representado e identificado las zonas de protección, bajo la política de humedales del distrito capital, definido como fundamentales en el equilibrio ecológico y ambiental global, ya que son el hábitat de muchas especies de fauna y flora, y elementos vitales en la estructura ecosistémica, sociocultural y económica de las naciones y del mundo.",https://www.datos.gov.co/dataset/Humedales-área-/k6ze-9vbm,Enlace externo,April 10 2019,0,area/humedales/bogota/espejo de agua/ambi,,,,,,,,,,,,,
21,Peticiones por asunto Bogotá. Febrero 2019,"Este grupo está conformado por los siguientes tipos documentales: Derecho de Petición, Solicitud y Tramite Especial; de acuerdo con el análisis realizado se clasificaron las peticiones teniendo en cuenta el tipo de requerimiento realizado por la ciudadanía.",https://www.datos.gov.co/dataset/Peticiones-por-asunto-Bogotá-Febrero-2019/p4uw-85mt,Enlace externo,April 10 2019,0,datos abiertos bogota,,,,,,,,,,,,,
22,INDICADORES DE CITAS DEL CUARTO TRIMESTRES DEL 2018,INDICADORES DE CITAS DEL CUARTO TRIMESTRES DEL 2018,https://www.datos.gov.co/Salud-y-Protección-Social/INDICADORES-DE-CITAS-DEL-CUARTO-TRIMESTRES-DEL-201/ppxm-yns2,Conjunto de Datos,April 9 2019,0,,CITAS,E.S.E. Hospital San Vicente de Paul Fómeque,Cundinamarca,Fomeque,Nacional,Salud y Protección Social,Español,Municipal,Trimestral,Salud y Protección Social,1,126,4
23,Instituciones Públicas de Cubarral Meta,Instituciones Educativas del Municipio de Cubarral Meta.,https://www.datos.gov.co/Educación/Instituciones-Públicas-de-Cubarral-Meta/nnpb-39nh,Conjunto de Datos,April 9 2019,0,colegios/colegios de cubarral/institución educati,Secretaría de Gobierno,Alcaldía Municipal de Cubarral,Meta,Cubarral,Territorial,Educación,Español,Municipal,Anual,Educación,0,7,5
24,PETICIONES QUEJAS Y RECLAMOS FÍSICO Y ELECTRÓNICO ALCALDÍA DE CHIA 2019,PQR FÍSICO Y ELECTRÓNICO RADICADA EN OFICINA ATENCIÓN AL CIUDADANO,https://www.datos.gov.co/Estadísticas-Nacionales/PETICIONES-QUEJAS-Y-RECLAMOS-FÍSICO-Y-ELECTRÓNICO-/8bh7-ugxx,Conjunto de Datos,April 9 2019,1,,Oficina  Atención al Ciudadano ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
25,DERECHOS DE PETICION RECIBIDAS OFICINA ATENCIÓN AL CIUDADANO 2019,DERECHOS DE PETICIÓN RECIBIDAS,https://www.datos.gov.co/Estadísticas-Nacionales/DERECHOS-DE-PETICION-RECIBIDAS-OFICINA-ATENCIÓN-AL/6kb8-33hw,Conjunto de Datos,April 9 2019,0,,Oficina  Atención al Ciudadano ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
26,Datos de contacto,Datos de contacto de los concejales de la vigencia 2019.,https://www.datos.gov.co/Cultura/Datos-de-contacto/49g4-tvek,Conjunto de Datos,April 9 2019,0,,Secretaría General,Concejo Municipal de Chiquinquirá,Boyacá,Chiquinquirá,Territorial,Cultura,Español,Municipal,Anual,Cultura,0,8,"contacto, concejales "
27,Anales 2018,Lista de acuerdo municipales aprobados durante la vigencia 2018,https://www.datos.gov.co/Cultura/Anales-2018/tdtb-q2fd,Conjunto de Datos,April 9 2019,0,acuerdos,Secretaría General,Concejo Municipal de Chiquinquirá,Boyacá,Chiquinquirá,Territorial,Cultura,Español,Municipal,Anual,Cultura,0,32,3
28,subsidios de titulos de predios por comunas entre los años 2012 2016,Numero de subsidios de titulos de predios entregados por la Secretaria de Vivienda Social y Habitat por comunas entre los años 2012 al 2016 en la ciudad de Santiago de Cali,https://www.datos.gov.co/dataset/subsidios-de-titulos-de-predios-por-comunas-entre-/9ybr-mbfe,Enlace externo,April 9 2019,0,vivienda/subsidios/municipio de santiago de ca,,,,,,,,,,,,,
29,subsidios de titulos de predios por comunas entre los años 2012 2017,Numero de subsidios de titulos de predios entregados por la Secretaria de Vivienda Social y Habitat por comunas entre los años 2012 al 2017 en la ciudad de Santiago de Cali,https://www.datos.gov.co/dataset/subsidios-de-titulos-de-predios-por-comunas-entre-/4wam-icx5,Enlace externo,April 9 2019,0,subsidios/vivienda/predios/santiago de c,,,,,,,,,,,,,
30,Comparendos de Transito Primer Trimestre del Año 2019 del Municipio de Candelaria,El municipio de Candelaria pone a disposición a todos los interesados la estadística de comparendos de transito en el Primer trimestre del año.,https://www.datos.gov.co/Transporte/Comparendos-de-Transito-Primer-Trimestre-del-Año-2/3nr8-4zz3,Conjunto de Datos,April 8 2019,1,municipio candelaria/infracciones/transporte/comparendos/tran,Secretaría de Tránsito y Transporte,Alcaldía Municipal de Candelaria Valle del Cauca,Valle del Cauca,Candelaria,Territorial,Transporte,Español,Municipal,No aplica,Transporte,2,31,8
31,QA_Registro_Informe_de_Austeridad_Directiva_Presidencial_Medidas,Sin descripción reportada en el sitio,https://www.datos.gov.co/dataset/QA_Registro_Informe_de_Austeridad_Directiva_Presid/qfr3-tf8q,Conjunto de Datos,April 8 2019,7,,Agencia Nacional Digital,Ministerio de Tecnologías de La Información y Las Comunicaciones,Bogotá D.C.,Bogotá D.C.,Nacional,"Ciencia, Tecnología e innovación",Español,Nacional,Trimestral,Este conjunto de datos no se ha categorizado,2,83,8
32,QA_Registro_Informe_de_Austeridad_Directiva_Presidencial,Sin descripción reportada en el sitio,https://www.datos.gov.co/dataset/QA_Registro_Informe_de_Austeridad_Directiva_Presid/xubb-43mg,Conjunto de Datos,April 8 2019,8,,Agencia Nacional Digital,Ministerio de Tecnologías de La Información y Las Comunicaciones,Bogotá D.C.,Bogotá D.C.,Nacional,"Ciencia, Tecnología e innovación",Español,Nacional,Trimestral,Este conjunto de datos no se ha categorizado,0,84,16
33,Ejecución Presupuestal de Gastos por Organismos - Santiago de Cali 2018,"Describe la programación (presupuesto inicial, presupuesto definitivo, adiciones, reducciones, crédito y contracrédito) y la ejecución (pagos, obligaciones y ejecución) del gastos por Organismos de Santiago de Cali 2018",https://www.datos.gov.co/Hacienda-y-Crédito-Público/Ejecución-Presupuestal-de-Gastos-por-Organismos-Sa/fmek-pumc,Conjunto de Datos,April 8 2019,0,,Grupo de Apoyo Administrativo,Alcaldía Municipal de Santiago de Cali,Valle del Cauca,Cali,Territorial,Hacienda y Crédito Público,Español,Municipal,No aplica,Hacienda y Crédito Público,0,28,10
34,Ejecución Presupuestal de Gastos de Regalías Santiago de Cali 2018,"Describe la programación (presupuesto inicial, presupuesto definitivo, adiciones, reducciones, crédito y contracrédito) y la ejecución (pagos, obligaciones y ejecución) del gastos de Regalías 2018",https://www.datos.gov.co/Hacienda-y-Crédito-Público/Ejecución-Presupuestal-de-Gastos-de-Regalías-Santi/hdky-pdsg,Conjunto de Datos,April 8 2019,0,,Grupo de Apoyo Administrativo,Alcaldía Municipal de Santiago de Cali,Valle del Cauca,Cali,Territorial,Hacienda y Crédito Público,Español,Municipal,Anual,Hacienda y Crédito Público,0,Sin dato recolectado,Sin dato recolectado
35,Ejecución Presupuestal de Gastos de Deuda Santiago de Cali 2018,"Describe la programación (presupuesto inicial, presupuesto definitivo, adiciones, reducciones, crédito y contracrédito) y la ejecución (pagos, obligaciones y ejecución) del gasto de la Deuda 2018",https://www.datos.gov.co/Hacienda-y-Crédito-Público/Ejecución-Presupuestal-de-Gastos-de-Deuda-Santiago/5x92-wgyt,Conjunto de Datos,April 8 2019,0,,Grupo de Apoyo Administrativo,Alcaldía Municipal de Santiago de Cali,Valle del Cauca,Cali,Territorial,Hacienda y Crédito Público,Español,Municipal,Anual,Hacienda y Crédito Público,0,11,10
36,Ejecución Presupuestal de Gastos de Inversión Santiago de Cali 2018,"Describe la programación (presupuesto inicial, presupuesto definitivo, adiciones, reducciones, crédito y contracrédito) y la ejecución (pagos, obligaciones y ejecución) del gasto de Inversión",https://www.datos.gov.co/Hacienda-y-Crédito-Público/Ejecución-Presupuestal-de-Gastos-de-Inversión-Sant/f5gj-ad35,Conjunto de Datos,April 8 2019,0,,Grupo de Apoyo Administrativo,Alcaldía Municipal de Santiago de Cali,Valle del Cauca,Cali,Territorial,Hacienda y Crédito Público,Español,Municipal,Anual,Hacienda y Crédito Público,0,Sin dato recolectado,Sin dato recolectado
37,Consultas Previas Proyectos - Marzo 2019,"Con esta información se pueden obtener datos estadísticos correspondientes a las solicitudes consultas para los diferentes proyectos POAS en los diferentes sectores económicos, para proyectos de interés nacional estratégico (pines), por departamento y región geográfica y por empresas o entidades ejecutoras y por el estado en que se encuentra la consulta.",https://www.datos.gov.co/dataset/Consultas-Previas-Proyectos-Marzo-2019/dacx-ds4x,Conjunto de Datos,April 8 2019,0,solicitudes para pines. solicitudes por año/poas/interior/solicitudes por sector/minist,Dirección de Consulta Previa,Ministerio del Interior,Bogotá D.C.,Bogotá D.C.,Nacional,Interior,Español,Nacional,Mensual,Este conjunto de datos no se ha categorizado,1,Sin dato recolectado,Sin dato recolectado
38,Ejecución Presupuestal de Gastos de Funcionamiento Santiago de Cali 2018,"Describe la programación (presupuesto inicial, presupuesto definitivo, adiciones, reducciones, crédito y contracrédito) y la ejecución (pagos, obligaciones y ejecución) del gasto de funcionamiento del Municipio de Santiago de Cali",https://www.datos.gov.co/Hacienda-y-Crédito-Público/Ejecución-Presupuestal-de-Gastos-de-Funcionamiento/jmje-hdr5,Conjunto de Datos,April 8 2019,0,,Grupo de Apoyo Administrativo,Alcaldía Municipal de Santiago de Cali,Valle del Cauca,Cali,Territorial,Hacienda y Crédito Público,Español,Municipal,Anual,Hacienda y Crédito Público,0,307,14
39,Consultas Previas Protocolizaciones - Marzo 2019,"Con esta información se pueden obtener datos estadísticos correspondientes a las consultas adelantadas desde el año 2003 en los diferentes sectores económicos, por años, por etnias, por tipo de población etnológica, con acuerdos o sin acuerdos, consultas para proyectos de interés nacional estratégico (pines), por departamento y región geográfica y por empresas o entidades ejecutoras.",https://www.datos.gov.co/dataset/Consultas-Previas-Protocolizaciones-Marzo-2019/niax-ungt,Conjunto de Datos,April 8 2019,0,consultas/protocolizaciones/interior/ministerio/pre,Dirección de Consulta Previa,Ministerio del Interior,Bogotá D.C.,Bogotá D.C.,Nacional,Interior,Español,Nacional,Mensual,Este conjunto de datos no se ha categorizado,1,4.730,16
40,"PAGO SERVICIO GAS, POLICÍA Y ADMINISTRACIÓN 2019",PAGO SERVICIOS GAS,https://www.datos.gov.co/Estadísticas-Nacionales/PAGO-SERVICIO-GAS-POLICÍA-Y-ADMINISTRACIÓN-2019/s697-yf2f,Conjunto de Datos,April 8 2019,0,,Almacén General ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,24,6
41,Estados Financieros Municipio de Ocaña,Estados finacieros con corte a  31 de Diciembre de cada vigencia.,https://www.datos.gov.co/Economía-y-Finanzas/Estados-Financieros-Municipio-de-Ocaña/yueq-xezy,Conjunto de Datos,April 8 2019,0,estado de resultados/balance general/estado actividad financiera/balance comparat,Área de Contabilidad,Alcaldía Municipal de Ocaña,Norte de Santander,Ocaña,Territorial,Función Pública,Español,Municipal,Anual,Economía y Finanzas,0,26,5
42,PLANILLA DE PAGO AVANTEL MUNICIPIO DE CHIA 2019,PAGO AVANTEL,https://www.datos.gov.co/Estadísticas-Nacionales/PLANILLA-DE-PAGO-AVANTEL-MUNICIPIO-DE-CHIA-2019/pkq3-xbwp,Conjunto de Datos,April 8 2019,1,,Almacén General ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,9,4
43,QA_Datos_de_Austeridad_por_Entidad_y_Concepto,Sin descripción reportada en el sitio,https://www.datos.gov.co/dataset/QA_Datos_de_Austeridad_por_Entidad_y_Concepto/prw4-fgde,Conjunto de Datos,April 8 2019,0,,Agencia Nacional Digital,Ministerio de Tecnologías de La Información y Las Comunicaciones,Bogotá D.C.,Bogotá D.C.,Nacional,"Ciencia, Tecnología e innovación",Español,Nacional,Trimestral,Este conjunto de datos no se ha categorizado,0,Sin dato recolectado,Sin dato recolectado
44,"PAGO TELEFONÍA , DIRECTORES Y ALCALDE 2019",PAGO TELEFONIA,https://www.datos.gov.co/Estadísticas-Nacionales/PAGO-TELEFONÍA-DIRECTORES-Y-ALCALDE-2019/882y-np46,Conjunto de Datos,April 8 2019,0,,Almacén General ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
45,QA_Rubros_y_Medidas,Sin descripción reportada en el sitio,https://www.datos.gov.co/dataset/QA_Rubros_y_Medidas/wfuy-cf7c,Conjunto de Datos,April 8 2019,0,,Agencia Nacional Digital,Ministerio de Tecnologías de La Información y Las Comunicaciones,Bogotá D.C.,Bogotá D.C.,Nacional,"Ciencia, Tecnología e innovación",Español,Nacional,Trimestral,Este conjunto de datos no se ha categorizado,0,24,3
46,TOTAL PAGO PLANILLAS CONMUTADOR  ALCALDÍA MUNICIPAL DE CHIA 2019,CONSOLIDADO PAGOS CONMUTADOR,https://www.datos.gov.co/Estadísticas-Nacionales/TOTAL-PAGO-PLANILLAS-CONMUTADOR-ALCALDÍA-MUNICIPAL/st44-y756,Conjunto de Datos,April 8 2019,2,,Almacén General ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,2,4
47,RELACIÓN GENERAL DE EMPRESA DE SERVICIOS PÚBLICOS CODENSA ALUMBRADO PUBLICO	2019,SERVICIOS,https://www.datos.gov.co/Estadísticas-Nacionales/RELACIÓN-GENERAL-DE-EMPRESA-DE-SERVICIOS-PÚBLICOS-/dpbe-banj,Conjunto de Datos,April 8 2019,0,,Almacén General ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,0,Sin dato recolectado,Sin dato recolectado
48,PAGO SERVICIO ALUMBRADO MUNICIPIO DE CHIA  2019,ALUMBRADO,https://www.datos.gov.co/dataset/PAGO-SERVICIO-ALUMBRADO-MUNICIPIO-DE-CHIA-2019/arwr-3gt7,Conjunto de Datos,April 8 2019,0,,Almacén General ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Este conjunto de datos no se ha categorizado,0,12,7
49,Parqueaderos Públicos sector histórico del Municipio de Guadalajara de Buga /  Public parkings historic sector of the Municipality of Guadalajara de Buga,,https://www.datos.gov.co/Comercio-Industria-y-Turismo/Parqueaderos-Públicos-sector-histórico-del-Municip/imcr-dj9n,Conjunto de Datos,April 7 2019,45,parqueaderos buga/parqueaderos cerca a la basílica/parqueadero público bu,Oficina TIC,Alcaldía Municipal de Guadalajara de Buga,Valle del Cauca,Guadalajara de Buga,Territorial,"Comercio, Industria y Turismo",Español,Internacional,Anual,"Comercio, Industria y Turismo",11,Sin dato recolectado,Sin dato recolectado
50,INFORMACIÓN CONTRATOS COMODATOS ALCALDÍA MUNICIPAL DE CHIA VIGENCIA 2019,COMODATOS,https://www.datos.gov.co/Estadísticas-Nacionales/INFORMACIÓN-CONTRATOS-COMODATOS-ALCALDÍA-MUNICIPAL/wepy-fvcd,Conjunto de Datos,April 6 2019,0,,Dirección de contratación ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,1,2,8
51,INFORMACION CONTRATOS OTRAS ENTIDADES ALCALDÍA MUNICIPAL DE CHIA VIGENCIA  2019,CONTRATOS OTRAS ENTIDADES,https://www.datos.gov.co/Estadísticas-Nacionales/INFORMACION-CONTRATOS-OTRAS-ENTIDADES-ALCALDÍA-MUN/dpku-2xpr,Conjunto de Datos,April 6 2019,0,,Dirección de contratación ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,1,1,8
52,"CONTRATACIÓN,MODALIDAD SUBASTA MUNICIPIO DE CHIA VIGENCIA 2019",MODALIDAD SUBASTA,https://www.datos.gov.co/Estadísticas-Nacionales/CONTRATACIÓN-MODALIDAD-SUBASTA-MUNICIPIO-DE-CHIA-V/92ky-cabp,Conjunto de Datos,April 6 2019,0,,Dirección de contratación ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,1,2,7
53,"CONTRATACIÓN,MODALIDAD SELECCIÓN ABREVIADA ALCALDÍA DE CHIA VIGENCIA 2019",SELECCIÓN ABREVIADA,https://www.datos.gov.co/Estadísticas-Nacionales/CONTRATACIÓN-MODALIDAD-SELECCIÓN-ABREVIADA-ALCALDÍ/erp8-n4nt,Conjunto de Datos,April 6 2019,0,,Dirección de contratación ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,1,4,7
54,INFORMACIÓN CONTRATO LICITACIÓN PUBLICA VIGENCIA  2019,LICITACIÓN PUBLICA,https://www.datos.gov.co/Estadísticas-Nacionales/INFORMACIÓN-CONTRATO-LICITACIÓN-PUBLICA-VIGENCIA-2/aev4-5eik,Conjunto de Datos,April 6 2019,0,,Dirección de contratación ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,2,1,5
55,INFORMACIÓN CONTRATACIÓN  MODALIDAD MÉRITOS VIGENCIA 2019 ALCALDÍA DE CHIA,MODALIDAD MÉRITOS,https://www.datos.gov.co/Estadísticas-Nacionales/INFORMACIÓN-CONTRATACIÓN-MODALIDAD-MÉRITOS-VIGENCI/i4cg-43jx,Conjunto de Datos,April 6 2019,0,,Dirección de contratación ,Alcaldía Municipal de Chía,Cundinamarca,Chía,Territorial,Estadísticas,Español,Municipal,Trimestral,Estadísticas Nacionales,1,1,7
56,Gestores RESPEL y RAEE,Sin descripción reportada en el sitio,https://www.datos.gov.co/Ambiente-y-Desarrollo-Sostenible/Gestores-RESPEL-y-RAEE/n8sm-cw2b,Mapa,April 6 2019,0,,,,,,,,,,,,,,
